iter	RMSE
561	20079.33716
562	20072.6535
563	20043.60138
564	20034.30887
565	20002.76616
566	19988.1926
567	19971.2407
568	19942.8841
569	19934.29363
570	19909.19414
571	19901.04452
572	19872.36439
573	19842.42705
574	19812.88695
575	19801.77433
576	19777.3044
577	19754.64482
578	19719.19605
579	19692.15989
580	19675.30009
581	19647.37455
582	19638.6404
583	19629.57986
584	19615.97707
585	19596.11523
586	19588.60717
587	19554.0389
588	19538.79494
589	19516.99629
590	19484.44938
591	19473.29087
592	19461.57504
593	19440.77676
594	19420.02331
595	19405.77899
596	19398.65855
597	19384.64139
598	19376.03429
599	19366.70558
600	19345.62266
601	19332.60197
602	19322.14457
603	19312.27231
604	19288.42886
605	19279.73234
606	19268.88481
607	19249.18288
608	19225.52333
609	19219.28704
610	19187.68177
611	19178.85921
612	19153.1178
613	19138.99443
614	19127.3563
615	19109.77175
616	19101.90623
617	19079.34097
618	19069.09443
619	19059.37803
620	19028.95204
621	19010.59158
622	19001.33436
623	18993.16856
624	18985.39548
625	18977.83971
626	18952.54584
627	18938.82858
628	18896.45881
629	18876.29096
630	18854.18327
631	18831.40636
632	18822.04367
633	18794.20259
634	18776.10132
635	18739.19015
636	18724.65337
637	18709.61346
638	18683.73331
639	18671.9374
640	18640.96667
641	18632.39528
642	18621.25186
643	18604.65427
644	18595.53142
645	18571.0257
646	18561.9006
647	18554.62397
648	18542.08201
649	18529.47622
650	18522.83676
651	18516.60606
652	18509.26897
653	18501.64648
654	18494.73032
655	18484.35913
656	18458.01783
657	18443.18654
658	18432.84021
659	18411.03696
660	18394.44026
661	18386.16784
662	18354.82078
663	18336.96768
664	18330.19304
665	18319.227
666	18302.78805
667	18276.89468
668	18257.90937
669	18233.51993
670	18222.55604
671	18208.40658
672	18200.45431
673	18184.58628
674	18161.01818
675	18152.03074
676	18140.41701
677	18134.35891
678	18121.18231
679	18079.29803
680	18058.84177
681	18047.07967
682	18025.66266
683	18019.72898
684	18011.33335
685	18002.17116
686	17987.41446
687	17977.07027
688	17964.77166
689	17945.65523
690	17926.12964
691	17917.07632
692	17906.19303
693	17891.88954
694	17885.68168
695	17877.3073
696	17860.94417
697	17853.17997
698	17835.37798
699	17824.29745
700	17818.13597
701	17803.54142
702	17793.58215
703	17780.19266
704	17770.90315
705	17761.53711
706	17756.09865
707	17746.94472
708	17739.57918
709	17718.6354
710	17710.33313
711	17701.74542
712	17687.82958
713	17680.61461
714	17672.88995
715	17665.30078
716	17652.68241
717	17640.90621
718	17633.47888
719	17616.97408
720	17609.76446
721	17600.98768
722	17592.33436
723	17586.02623
724	17579.1579
725	17570.08797
726	17554.89404
727	17545.70014
728	17532.91382
729	17526.80198
730	17516.76739
731	17509.90862
732	17498.98076
733	17488.94418
734	17471.3534
735	17457.32832
736	17448.51989
737	17442.36209
738	17423.17745
739	17414.09865
740	17405.29026
741	17394.11894
742	17389.41506
743	17377.87211
744	17361.58995
745	17334.73367
746	17328.44341
747	17323.16089
748	17307.74755
749	17274.62965
750	17264.45448
751	17259.34051
752	17254.24841
753	17238.74484
754	17232.0048
755	17222.58644
756	17211.99156
757	17206.12281
758	17181.63235
759	17175.63704
760	17168.75939
761	17154.61083
762	17146.42505
763	17140.48886
764	17124.6414
765	17111.95588
766	17104.94266
767	17096.89704
768	17090.35533
769	17079.31116
770	17073.20487
771	17051.25198
772	17044.96267
773	17007.36996
774	16997.46007
775	16990.18181
776	16984.43362
777	16974.56608
778	16959.60854
779	16954.13759
780	16945.67152
781	16940.43129
782	16927.70101
783	16915.06793
784	16903.86267
785	16898.22372
786	16891.01341
787	16880.41216
788	16862.18875
789	16845.21223
790	16826.30664
791	16817.91481
792	16812.83795
793	16798.4991
794	16792.82817
795	16784.23788
796	16775.69819
797	16769.06954
798	16759.12202
799	16735.62355
800	16726.73515
801	16707.90603
802	16699.21858
803	16687.30004
804	16667.85998
805	16653.09326
806	16645.83367
807	16627.88166
808	16620.12729
809	16612.02082
810	16603.60033
811	16594.33068
812	16589.62359
813	16571.33679
814	16562.12279
815	16554.84137
816	16548.78055
817	16541.03915
818	16534.65895
819	16524.09287
820	16518.77272
821	16510.66236
822	16500.46234
823	16495.68335
824	16490.32568
825	16472.42981
826	16464.32582
827	16451.90094
828	16443.82499
829	16434.24496
830	16426.38042
831	16414.86142
832	16408.08467
833	16384.72201
834	16376.61563
835	16373.03133
836	16359.37263
837	16344.87722
838	16315.80385
839	16310.08169
840	16301.5956
841	16296.81939
842	16289.71814
843	16280.00311
844	16274.16134
845	16262.65247
846	16240.52129
847	16229.48581
848	16212.93399
849	16206.8444
850	16197.79005
851	16192.13628
852	16182.52626
853	16174.01994
854	16164.93978
855	16151.59209
856	16143.43109
857	16136.17954
858	16120.97333
859	16110.80029
860	16105.91383
861	16096.74453
862	16089.04479
863	16077.82755
864	16063.75529
865	16056.27835
866	16051.24178
867	16042.98004
868	16035.70201
869	16027.25285
870	16005.83596
871	15998.46415
872	15992.65083
873	15985.39562
874	15964.44913
875	15957.35225
876	15946.88894
877	15937.99592
878	15933.31485
879	15926.81851
880	15920.26576
881	15911.3461
882	15902.42879
883	15892.13749
884	15882.15929
885	15876.25907
886	15870.76482
887	15851.45765
888	15834.24651
889	15826.96597
890	15815.51059
891	15810.10894
892	15792.22681
893	15786.91584
894	15773.8465
895	15760.00638
896	15755.52036
897	15747.65686
898	15740.68968
899	15727.7367
900	15722.64183
901	15711.906
902	15705.52855
903	15699.41325
904	15693.36638
905	15685.66088
906	15678.82444
907	15651.03699
908	15646.09865
909	15636.37783
910	15608.28599
911	15601.69947
912	15594.2336
913	15589.38933
914	15584.6771
915	15576.14923
916	15564.81171
917	15555.45504
918	15549.23789
919	15528.59881
920	15520.18323
921	15514.42292
922	15509.70378
923	15505.80796
924	15492.9299
925	15486.71474
926	15482.40046
927	15469.97944
928	15443.22303
929	15431.50644
930	15426.68334
931	15421.41298
932	15415.40983
933	15402.04271
934	15388.93413
935	15365.88286
936	15358.01306
937	15353.11329
938	15336.55662
939	15328.14581
940	15305.58103
941	15295.29679
942	15285.08867
943	15279.68451
944	15264.49325
945	15257.79963
946	15242.51762
947	15230.66897
948	15220.99557
949	15210.76431
950	15201.52637
951	15194.65452
952	15188.93186
953	15184.47532
954	15168.7617
955	15164.0808
956	15159.05152
957	15153.18411
958	15142.40204
959	15138.84496
960	15126.99851
961	15112.69197
962	15097.93212
963	15093.3651
964	15088.60691
965	15082.27196
966	15062.37005
967	15053.25288
968	15045.25658
969	15038.58823
970	15027.46628
971	15019.9232
972	15016.22878
973	15009.69782
974	15004.65819
975	14999.5664
976	14990.57972
977	14985.43404
978	14980.55601
979	14967.07646
980	14960.84937
981	14954.39692
982	14949.21587
983	14941.65338
984	14936.53761
985	14930.88435
986	14924.05542
987	14919.48726
988	14902.96561
989	14898.5613
990	14891.36353
991	14876.30848
992	14870.59073
993	14848.92547
994	14844.87601
995	14839.67636
996	14833.39112
997	14828.30062
998	14823.70556
999	14818.21723
